state,policy,tax_amount,unit,year,note,source
Nevada,State gasoline tax,33.780,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
New Hampshire,State gasoline tax,23.830,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
New Jersey,State gasoline tax,37.100,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
New Mexico,State gasoline tax,18.880,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
New York,State gasoline tax,45.760,cents per gallon,2018,"Gasoline is fully or partially subject to the states general sales tax. Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
North Carolina,State gasoline tax,35.350,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
North Dakota,State gasoline tax,23.000,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Ohio,State gasoline tax,28.010,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Oklahoma,State gasoline tax,20.000,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Oregon,State gasoline tax,36.770,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Pennsylvania,State gasoline tax,58.700,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Rhode Island,State gasoline tax,34.000,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
South Carolina,State gasoline tax,20.750,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
South Dakota,State gasoline tax,30.000,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Tennessee,State gasoline tax,26.400,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Texas,State gasoline tax,20.000,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Utah,State gasoline tax,29.410,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Vermont,State gasoline tax,31.220,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Virginia,State gasoline tax,22.400,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Washington,State gasoline tax,49.400,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
West Virginia,State gasoline tax,35.700,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Wisconsin,State gasoline tax,32.900,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Wyoming,State gasoline tax,24.000,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
D.C.,State gasoline tax,23.500,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Alabama,Average gasoline price for the state,2.579,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Alaska,Average gasoline price for the state,3.371,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Arizona,Average gasoline price for the state,2.907,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Arkansas,Average gasoline price for the state,2.597,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
California,Average gasoline price for the state,3.618,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Colorado,Average gasoline price for the state,2.807,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Connecticut,Average gasoline price for the state,3.067,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Delaware,Average gasoline price for the state,2.826,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Florida,Average gasoline price for the state,2.758,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Georgia,Average gasoline price for the state,2.773,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Hawaii,Average gasoline price for the state,3.770,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Idaho,Average gasoline price for the state,3.166,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Illinois,Average gasoline price for the state,2.935,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Indiana,Average gasoline price for the state,2.893,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Iowa,Average gasoline price for the state,2.726,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Kansas,Average gasoline price for the state,2.668,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Kentucky,Average gasoline price for the state,2.743,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Louisiana,Average gasoline price for the state,2.607,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Maine,Average gasoline price for the state,2.870,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Maryland,Average gasoline price for the state,2.845,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Massachusetts,Average gasoline price for the state,2.897,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Michigan,Average gasoline price for the state,2.905,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Minnesota,Average gasoline price for the state,2.794,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Mississippi,Average gasoline price for the state,2.574,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Missouri,Average gasoline price for the state,2.625,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Montana,Average gasoline price for the state,2.944,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Nebraska,Average gasoline price for the state,2.764,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Nevada,Average gasoline price for the state,3.192,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
New Hampshire,Average gasoline price for the state,2.810,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
New Jersey,Average gasoline price for the state,2.905,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
New Mexico,Average gasoline price for the state,2.776,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
New York,Average gasoline price for the state,3.010,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
North Carolina,Average gasoline price for the state,2.702,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
North Dakota,Average gasoline price for the state,2.856,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Ohio,Average gasoline price for the state,2.771,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Oklahoma,Average gasoline price for the state,2.641,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Oregon,Average gasoline price for the state,3.278,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Pennsylvania,Average gasoline price for the state,3.065,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Rhode Island,Average gasoline price for the state,2.904,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
South Carolina,Average gasoline price for the state,2.594,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
South Dakota,Average gasoline price for the state,2.901,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Tennessee,Average gasoline price for the state,2.647,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Texas,Average gasoline price for the state,2.631,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Utah,Average gasoline price for the state,3.089,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Vermont,Average gasoline price for the state,2.920,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Virginia,Average gasoline price for the state,2.626,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Washington,Average gasoline price for the state,3.395,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
West Virginia,Average gasoline price for the state,2.860,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Wisconsin,Average gasoline price for the state,2.820,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Wyoming,Average gasoline price for the state,2.944,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
D.C.,Average gasoline price for the state,3.056,dollars per gallon,2018,"Measures for regular gasoline on August 8, 2018",AAA gas prices (via Ballotpedia and the Wayback Machine): https://web.archive.org/web/20180808062028/https://gasprices.aaa.com/state-gas-price-averages/
Alabama,State wine excise tax,1.700,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Alaska,State wine excise tax,2.500,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Arizona,State wine excise tax,0.840,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Arkansas,State wine excise tax,1.440,dollars per gallon,2018,Includes case fees and/or bottle fees and sales tax specific to alcoholic beverages. ,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
California,State wine excise tax,0.200,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Colorado,State wine excise tax,0.320,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Connecticut,State wine excise tax,0.720,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Delaware,State wine excise tax,1.630,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Florida,State wine excise tax,2.250,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Georgia,State wine excise tax,1.510,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Hawaii,State wine excise tax,1.380,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Idaho,State wine excise tax,0.450,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Illinois,State wine excise tax,1.390,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Indiana,State wine excise tax,0.470,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Iowa,State wine excise tax,1.750,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Kansas,State wine excise tax,0.300,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Kentucky,State wine excise tax,3.470,dollars per gallon,2018,"Includes wholesale tax rate of 10.25%, converted to gallonage rate. ",Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Louisiana,State wine excise tax,0.760,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Maine,State wine excise tax,0.600,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Maryland,State wine excise tax,1.360,dollars per gallon,2018,Includes sales tax specific to alcoholic beverages.,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Massachusetts,State wine excise tax,0.550,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Michigan,State wine excise tax,0.510,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Minnesota,State wine excise tax,1.200,dollars per gallon,2018,Includes case fees and/or bottle fees and sales tax specific to alcoholic beverages.,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Mississippi,State wine excise tax,,dollars per gallon,2018,"State government controls all sales, excise taxes may still be applied. ",Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Missouri,State wine excise tax,0.420,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Montana,State wine excise tax,1.060,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Nebraska,State wine excise tax,0.950,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Nevada,State wine excise tax,0.700,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
New Hampshire,State wine excise tax,,dollars per gallon,2018,"State government controls all sales, excise taxes may still be applied.",Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
New Jersey,State wine excise tax,0.880,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
New Mexico,State wine excise tax,1.700,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
New York,State wine excise tax,0.300,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
North Carolina,State wine excise tax,1.000,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
North Dakota,State wine excise tax,1.060,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Ohio,State wine excise tax,0.320,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Oklahoma,State wine excise tax,0.720,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Oregon,State wine excise tax,0.670,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Pennsylvania,State wine excise tax,,dollars per gallon,2018,"State government controls all sales, excise taxes may still be applied.",Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Rhode Island,State wine excise tax,1.400,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
South Carolina,State wine excise tax,1.080,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
South Dakota,State wine excise tax,1.310,dollars per gallon,2018,Includes sales tax specific to alcoholic beverages.,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Tennessee,State wine excise tax,1.270,dollars per gallon,2018,Includes case fees and/or bottle fees.,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Texas,State wine excise tax,0.200,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Utah,State wine excise tax,,dollars per gallon,2018,"State government controls all sales, excise taxes may still be applied.",Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Vermont,State wine excise tax,0.550,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Virginia,State wine excise tax,1.510,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Washington,State wine excise tax,0.870,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
West Virginia,State wine excise tax,1.000,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Wisconsin,State wine excise tax,0.250,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Wyoming,State wine excise tax,,dollars per gallon,2018,"State government controls all sales, excise taxes may still be applied.",Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
D.C.,State wine excise tax,1.730,dollars per gallon,2018,Includes sales tax specific to alcoholic beverages.,Tax Foundation: https://taxfoundation.org/state-wine-taxes-2018/
Alabama,State beer excise tax,1.050,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Alaska,State beer excise tax,1.070,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Arizona,State beer excise tax,0.160,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Arkansas,State beer excise tax,0.340,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
California,State beer excise tax,0.200,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Colorado,State beer excise tax,0.080,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Connecticut,State beer excise tax,0.230,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Delaware,State beer excise tax,0.260,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Florida,State beer excise tax,0.480,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Georgia,State beer excise tax,1.010,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Hawaii,State beer excise tax,0.930,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Idaho,State beer excise tax,0.150,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Illinois,State beer excise tax,0.230,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Indiana,State beer excise tax,0.120,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Iowa,State beer excise tax,0.190,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Kansas,State beer excise tax,0.180,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Kentucky,State beer excise tax,0.850,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Louisiana,State beer excise tax,0.400,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Maine,State beer excise tax,0.350,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Maryland,State beer excise tax,0.530,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Massachusetts,State beer excise tax,0.110,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Michigan,State beer excise tax,0.200,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Minnesota,State beer excise tax,0.490,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Mississippi,State beer excise tax,0.430,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Missouri,State beer excise tax,0.060,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Montana,State beer excise tax,0.140,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Nebraska,State beer excise tax,0.310,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Nevada,State beer excise tax,0.160,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
New Hampshire,State beer excise tax,0.300,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
New Jersey,State beer excise tax,0.120,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
New Mexico,State beer excise tax,0.410,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
New York,State beer excise tax,0.140,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
North Carolina,State beer excise tax,0.620,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
North Dakota,State beer excise tax,0.390,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Ohio,State beer excise tax,0.180,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Oklahoma,State beer excise tax,0.400,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Oregon,State beer excise tax,0.080,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Pennsylvania,State beer excise tax,0.080,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Rhode Island,State beer excise tax,0.120,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
South Carolina,State beer excise tax,0.770,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
South Dakota,State beer excise tax,0.270,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
